NArab1,HASC_2a,NFr1,HASC_2b,NFr2,HASC_2c,deg
عمدون,TN.BJ.AM,Amdoun,TN.BJ.AM,Amdoun,TN.BJ.AM,Amdoun
باجة الشمالية,TN.BJ.BN,Beja Nord,TN.BJ.BN,Beja Nord,TN.BJ.BN,B�ja Nord
باجة الجنوبية,TN.BJ.BS,Beja Sud,TN.BJ.BS,Beja Sud,TN.BJ.BS,B�ja Sud
قبلاط,TN.BJ.GO,Goubellat,TN.BJ.GO,Goubellat,TN.BJ.GO,Goubellat
مجاز الباب,TN.BJ.MB,Mejez El Bab,TN.BJ.MB,Mejez El Bab,TN.BJ.MB,Medjez El Bab
نفزة,TN.BJ.NE,Nefza,TN.BJ.NE,Nefza,TN.BJ.NE,Nefza
تبرسق,TN.BJ.TB,Teboursouk,TN.BJ.TB,Teboursouk,TN.BJ.TB,Teboursouk
تيبار,TN.BJ.TH,Thibar,TN.BJ.TH,Thibar,TN.BJ.TH,Tibar
تستور,TN.BJ.TT,Testour,TN.BJ.TT,Testour,TN.BJ.TT,Testour
العالية,TN.BZ.AL,El Alia,TN.BZ.AL,El Alia,TN.BZ.AL,El Alia
بنزرت الشمالية,TN.BZ.BN,Bizerte Nord,TN.BZ.BN,Bizerte Nord,TN.BZ.BN,Bizerte Nord
بنزرت الجنوبية,TN.BZ.BS,Bizerte Sud,TN.BZ.BS,Bizerte Sud,TN.BZ.BS,Bizerte Sud
غزالة,TN.BZ.GH,Ghazala,TN.BZ.GH,Ghazala,TN.BZ.GH,Ghezala
غار الملح,TN.BZ.GM,Ghar El Melh,TN.BZ.GM,Ghar El Melh,TN.BZ.GM,Ghar El Meleh
جرزونة,TN.BZ.JA,Zarzouna,TN.BZ.JA,,,Zarzouna
جومين,TN.BZ.JO,Joumine,TN.BZ.JO,Joumine,TN.BZ.JO,Djoumine
ماطر,TN.BZ.MA,Mateur,TN.BZ.MA,Mateur,TN.BZ.MA,Mateur
